RECIPIENT,ID,MESSAGE,TIME
kim_vitug05,U017P82TSL9,"Hello, world!",2020-10-07 15:46:17 -0700
test-channel2,C01ABK51G14,Hello!,2020-10-07 15:48:45 -0700
kim_vitug05,U017P82TSL9,Hi again!,2020-10-07 15:50:28 -0700
kim_vitug05,U017P82TSL9,Hello there!,2020-10-07 16:58:21 -0700
kim_vitug05,U017P82TSL9,Hello there!,2020-10-07 16:58:49 -0700
kim_vitug05,U017P82TSL9,Hey!,2020-10-07 17:00:57 -0700
kim_vitug05,U017P82TSL9,Hello!,2020-10-07 17:01:10 -0700
kim_vitug05,U017P82TSL9,Does this work?,2020-10-07 17:03:23 -0700
li.lea.dai,U016W06JGT1,Does this work?,2020-10-07 17:07:14 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:30:10 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:31:02 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:32:02 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:32:21 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:37:30 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:40:40 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 19:42:26 -0700
test-channel2,C01ABK51G14,hiiii,2020-10-07 20:04:53 -0700
test-channel2,C01ABK51G14,THE REAL Ting-Yi!,2020-10-07 20:06:03 -0700
test-channel2,C01ABK51G14,THE REAL Ting-Yi!,2020-10-07 20:07:28 -0700
test-channel2,C01ABK51G14,NOT Ting-Yi,2020-10-07 20:11:13 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:15:05 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:16:51 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:20:37 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 20:30:00 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 20:47:59 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:48:00 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:51:42 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:53:47 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:55:44 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:57:41 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:59:03 -0700
li.lea.dai,U016W06JGT1,Hello there!,2020-10-07 20:59:13 -0700
test-channel2,C01ABK51G14,Hello there!,2020-10-07 20:59:14 -0700
